epoch,learning_rate,loss,mean_error_mae,val_loss,val_mean_error_mae
0,0.0010000000474974513,0.05671072006225586,0.35924309492111206,0.005704361945390701,0.3065204918384552
1,0.0010000000474974513,0.004148826934397221,0.3153420388698578,0.044553350657224655,0.3366642892360687
2,0.0010000000474974513,-0.015765991061925888,0.2992337644100189,0.013941858895123005,0.3121725618839264
3,0.0010000000474974513,-0.027901137247681618,0.29026007652282715,0.015568549744784832,0.30876925587654114
4,0.0010000000474974513,-0.03724478930234909,0.2830064296722412,0.01947784051299095,0.3068208694458008
5,0.0010000000474974513,-0.0434989295899868,0.27762889862060547,0.040194813162088394,0.324867308139801
6,0.0010000000474974513,-0.05026994273066521,0.27263474464416504,0.03117227554321289,0.314252108335495
7,0.0010000000474974513,-0.05615192651748657,0.2684045732021332,0.034211527556180954,0.3145250082015991
8,0.0005000000237487257,-0.06996151059865952,0.2584143877029419,0.04458603262901306,0.3165898025035858
9,0.0005000000237487257,-0.07389336824417114,0.2554263174533844,0.048266053199768066,0.31916776299476624
10,0.0005000000237487257,-0.07765502482652664,0.25266674160957336,0.06140470877289772,0.3292637765407562
11,0.0005000000237487257,-0.07939676195383072,0.2513025999069214,0.05796055495738983,0.3229535222053528
12,0.0005000000237487257,-0.08201739937067032,0.24958586692810059,0.08860918879508972,0.33098283410072327
13,0.0005000000237487257,-0.08442672342061996,0.24772456288337708,0.0609542615711689,0.32063525915145874
14,0.0005000000237487257,-0.08581320196390152,0.24668776988983154,0.06879197806119919,0.3182089328765869
15,0.0002500000118743628,-0.09319668263196945,0.2415022999048233,0.08074502646923065,0.323682963848114
